1, .554
2, .660
3, .641
4, .555
5, .552
6, .560
7, .620
8, .598
9, .581
10, .556
11, .709
12, .556
13, .538
14, .589
15, .549
16, .584
17, .580
18, .568
19, .583
20, .539
21, .541
22, .586
23, .546
24, .612
25, .590
26, .576
27, .712
28, .579
29, .578
30, .547
31, .541
32, .598
33, .615
34, .668
35, .558
36, .576
37, .560
38, .601
39, .565
40, .576
41, .618
42, .587
43, .584
44, .584
45, .568
46, .588
47, .589
48, .623
49, .605
50, .686
51, .635
52, .609
53, .548
54, .560
55, .544
56, .529
57, .531
58, .584
59, .555
60, .539
61, .545
62, .537
63, .551
64, .530
65, .552
66, .529
67, .556
68, .611
69, .538
70, .542
71, .534
72, .539
73, .532
74, .551
75, .547
76, .556
77, .559
78, .526
79, .574
80, .545
81, .540
82, .534
83, .533
84, .566
85, .600
86, .572
87, .547
88, .535
89, .561
90, .542
91, .561
92, .543
93, .547
94, .632
95, .562
96, .548
97, .542
98, .537
99, .540
100, .560
101, .553
102, .535
103, .569
104, .597
105, .570
106, .544
107, .548
108, .537
109, .552
110, .541
111, .573
112, .573
113, .567
114, .551
115, .535
116, .530
117, .551
118, .547
119, .543
120, .533
121, .640
122, .564
123, .539
124, .535
125, .544
126, .540
127, .530
128, .554
129, .555
130, .579
131, .589
132, .541
133, .570
134, .564
135, .538
136, .540
137, .551
138, .560
139, .616
140, .587
141, .526
142, .552
143, .531
144, .551
145, .541
146, .551
147, .557
148, .576
149, .631
150, .561
151, .537
152, .551
153, .565
154, .522
155, .527
156, .586
157, .575
158, .571
159, .549
160, .522
161, .533
162, .558
163, .556
164, .546
165, .544
166, .574
167, .615
168, .557
169, .548
170, .568
171, .543
172, .543
173, .561
174, .554
175, .589
176, .555
177, .553
178, .558
179, .551
180, .559
181, .557
182, .533
183, .591
184, .580
185, .556
186, .558
187, .568
188, .549
189, .560
190, .541
191, .552
192, .571
193, .638
194, .579
195, .551
196, .561
197, .556
198, .560
199, .560
200, .551
201, .601
202, .577
203, .599
204, .589
205, .590
206, .606
207, .579
208, .560
209, .639
210, .586
211, .565
212, .549
213, .550
214, .548
215, .563
216, .563
217, .559
218, .576
219, .589
220, .570
221, .551
222, .559
223, .556
224, .551
225, .583
226, .558
227, .581
228, .587
229, .562
230, .570
231, .555
232, .550
233, .554
234, .560
235, .596
236, .586
237, .564
238, .562
239, .551
240, .561
241, .558
242, .553
243, .559
244, .619
245, .655
246, .579
247, .543
248, .546
249, .554
250, .570
251, .567
252, .566
253, .585
254, .575
255, .555
256, .548
257, .555
258, .549
259, .561
